,RMNH.INS.1271298_An_messeae - ND4 CDS,RMNH.INS.1271299_An_messeae - ND4 CDS,RMNH.INS.1271300_An_messeae - ND4 CDS,RMNH.INS.1271301_Cq_richiardii - ND4 CDS,RMNH.INS.1271302_Cq_richiardii - ND4 CDS,RMNH.INS.1271303_Cq_richiardii - ND4 CDS,RMNH.INS.1271304_Ae_vexans - ND4 CDS,RMNH.INS.1271305_Ae_vexans - ND4 CDS,RMNH.INS.1271306_Ae_vexans - ND4 CDS,RMNH.INS.1271307_Cs_annulata - ND4 CDS,RMNH.INS.1271308_Cs_annulata - ND4 CDS,RMNH.INS.1271309_Cs_annulata - ND4 CDS,RMNH.INS.1271310_An_claviger - ND4 CDS,RMNH.INS.1271311_An_claviger - ND4 CDS,RMNH.INS.1271312_An_claviger - ND4 CDS,RMNH.INS.1271313_Cx_modestus - ND4 CDS,RMNH.INS.1271314_Cx_modestus - ND4 CDS,RMNH.INS.1271315_Cx_modestus - ND4 CDS,RMNH.INS.1271316_Cx_territans - ND4 CDS,RMNH.INS.1271317_Cx_territans - ND4 CDS,RMNH.INS.1271318_Cx_territans - ND4 CDS,RMNH.INS.1271319_Ae_cinereus_geminus - ND4 CDS,RMNH.INS.1271320_Ae_cinereus_geminus - ND4 CDS,RMNH.INS.1271321_Ae_cinereus_geminus - ND4 CDS,RMNH.INS.1271322_Cs_longiareolata - ND4 CDS,RMNH.INS.1271323_Cs_longiareolata - ND4 CDS,RMNH.INS.1271324_Cs_longiareolata - ND4 CDS,RMNH.INS.1271325_Ae_annulipes_cantans - ND4 CDS,RMNH.INS.1271326_Ae_annulipes_cantans - ND4 CDS,RMNH.INS.1271327_Ae_annulipes_cantans - ND4 CDS,RMNH.INS.1271328_Ae_annulipes_cantans - ND4 CDS,RMNH.INS.1271329_Ae_annulipes_cantans - ND4 CDS,RMNH.INS.1271330_Ae_annulipes_cantans - ND4 CDS,RMNH.INS.1271331_Ae_rusticus - ND4 CDS,RMNH.INS.1271332_Ae_rusticus - ND4 CDS,RMNH.INS.1271333_Ae_rusticus - ND4 CDS,RMNH.INS.1271334_Ae_communis - ND4 CDS,RMNH.INS.1271335_Ae_communis - ND4 CDS,RMNH.INS.1271336_Ae_communis - ND4 CDS,RMNH.INS.1271337_Ae_punctor - ND4 CDS,RMNH.INS.1271338_Ae_rusticus - ND4 CDS,RMNH.INS.1271339_Ae_punctor - ND4 CDS,RMNH.INS.1271340_Ae_geniculatus - ND4 CDS,RMNH.INS.1271341_Ae_geniculatus - ND4 CDS,RMNH.INS.1271342_Ae_geniculatus - ND4 CDS,RMNH.INS.1271344_Cs_subochrea - ND4 CDS,RMNH.INS.1271345_Cs_annulata - ND4 CDS,RMNH.INS.1271346_Ae_caspius - ND4 CDS,RMNH.INS.1271347_Ae_caspius - ND4 CDS,RMNH.INS.1271348_Ae_caspius - ND4 CDS,RMNH.INS.1271349_An_plumbeus - ND4 CDS,RMNH.INS.1271350_An_plumbeus - ND4 CDS,RMNH.INS.1271351_An_plumbeus - ND4 CDS,RMNH.INS.1271352_Cs_annulata - ND4 CDS,RMNH.INS.1271354_Cs_annulata - ND4 CDS,RMNH.INS.1271355_Cx_pipiens - ND4 CDS,RMNH.INS.1271356_Cx_pipiens - ND4 CDS,RMNH.INS.1271357_Cx_pipiens - ND4 CDS,RMNH.INS.1271358_Cs_morsitans - ND4 CDS,RMNH.INS.1271359_Cs_morsitans - ND4 CDS,RMNH.INS.1271360_Cs_morsitans - ND4 CDS,RMNH.INS.1271361_Ae_sticticus - ND4 CDS,RMNH.INS.1271362_Ae_sticticus - ND4 CDS,RMNH.INS.1271363_Ae_sticticus - ND4 CDS,RMNH.INS.1271367_Ae_detritus - ND4 CDS,RMNH.INS.1271368_Ae_detritus - ND4 CDS,RMNH.INS.1271369_Ae_caspius - ND4 CDS,RMNH.INS.1271370_Ae_flavescens - ND4 CDS,RMNH.INS.1271371_Ae_flavescens - ND4 CDS,RMNH.INS.1271372_Ae_flavescens - ND4 CDS,RMNH.INS.1271375_Ae_leucomelas - ND4 CDS,RMNH.INS.1271376_Ae_albopictus - ND4 CDS,RMNH.INS.1271377_Ae_albopictus - ND4 CDS,RMNH.INS.1271378_Ae_albopictus - ND4 CDS,RMNH.INS.1271379_Ae_japonicus - ND4 CDS,RMNH.INS.1271380_Ae_japonicus - ND4 CDS,RMNH.INS.1271381_Ae_japonicus - ND4 CDS,RMNH.INS.1271382_Ae_aegypti - ND4 CDS,RMNH.INS.1271383_Ae_aegypti - ND4 CDS,RMNH.INS.1271384_Ae_aegypti - ND4 CDS,RMNH.INS.1271386_Ae_cinereus_geminus - ND4 CDS,RMNH.INS.1271389_Cs_ochroptera - ND4 CDS
RMNH.INS.1271298_An_messeae - ND4 CDS,,99.702,99.329,80.477,80.626,80.626,82.563,82.563,82.489,83.607,83.607,83.756,89.270,89.344,89.270,82.116,82.861,82.936,81.893,81.744,81.818,82.638,82.563,82.638,82.414,82.414,82.414,83.159,82.936,83.010,83.234,82.787,82.787,83.010,83.085,83.010,82.191,82.489,82.414,82.116,83.085,82.116,82.116,82.191,82.116,83.607,83.607,84.203,84.128,84.128,87.109,87.109,87.109,83.681,83.607,83.607,83.607,83.607,82.191,82.265,82.191,83.159,83.159,83.159,83.607,83.308,84.128,82.787,82.787,82.563,83.234,82.936,82.787,82.936,82.563,82.563,82.489,83.905,83.979,83.905,82.638,83.458
RMNH.INS.1271299_An_messeae - ND4 CDS,99.702,,99.329,80.551,80.700,80.700,82.563,82.563,82.489,83.681,83.681,83.830,89.270,89.344,89.270,82.191,82.787,82.861,81.893,81.744,81.818,82.787,82.712,82.787,82.489,82.489,82.489,83.159,82.936,83.010,83.234,82.787,82.787,83.010,83.085,83.010,82.191,82.489,82.414,81.967,83.085,81.967,82.116,82.191,82.116,83.681,83.681,84.203,84.128,84.128,86.960,86.960,86.960,83.756,83.681,83.681,83.681,83.681,82.265,82.340,82.265,83.159,83.159,83.159,83.607,83.308,84.128,82.787,82.787,82.563,83.085,82.861,82.712,82.861,82.563,82.563,82.489,83.905,83.830,83.905,82.787,83.458
RMNH.INS.1271300_An_messeae - ND4 CDS,99.329,99.329,,80.477,80.626,80.626,82.563,82.563,82.489,83.681,83.681,83.830,89.419,89.493,89.419,81.967,82.861,82.936,81.893,81.744,81.818,82.712,82.638,82.712,82.414,82.414,82.414,83.234,83.010,83.085,83.308,82.861,82.861,83.010,83.085,83.010,82.116,82.414,82.340,81.818,83.085,81.818,82.265,82.340,82.265,83.681,83.681,84.128,84.054,84.054,86.885,86.885,86.885,83.756,83.681,83.458,83.458,83.458,82.265,82.340,82.265,83.085,83.085,83.085,83.458,83.308,84.054,82.638,82.638,82.563,83.159,82.638,82.489,82.638,82.414,82.414,82.340,83.756,83.905,83.905,82.712,83.532
RMNH.INS.1271301_Cq_richiardii - ND4 CDS,80.477,80.551,80.477,,99.851,99.851,84.821,84.821,84.821,85.045,85.119,84.896,81.446,81.520,81.371,82.515,83.110,83.259,83.482,83.259,83.259,84.598,84.524,84.598,83.929,83.929,83.929,85.565,85.491,85.342,85.640,85.268,85.342,85.491,85.565,85.491,83.780,83.780,83.705,83.705,85.491,83.705,83.929,83.854,83.929,84.226,85.119,85.268,85.342,85.268,81.595,81.595,81.595,85.193,85.119,83.929,83.929,83.929,83.631,83.705,83.631,84.747,84.747,84.747,85.640,85.342,85.342,85.119,85.119,84.896,84.821,84.301,84.301,84.301,83.482,83.482,83.705,84.226,83.705,84.301,84.673,85.565
RMNH.INS.1271302_Cq_richiardii - ND4 CDS,80.626,80.700,80.626,99.851,,100.000,84.970,84.970,84.970,85.119,85.193,84.970,81.520,81.595,81.446,82.664,83.185,83.333,83.631,83.408,83.408,84.673,84.598,84.673,83.929,83.929,83.929,85.640,85.565,85.417,85.714,85.342,85.417,85.565,85.640,85.565,83.854,83.854,83.780,83.780,85.565,83.780,84.077,84.003,84.077,84.301,85.193,85.342,85.417,85.342,81.595,81.595,81.595,85.268,85.193,83.929,83.929,83.929,83.780,83.854,83.780,84.821,84.821,84.821,85.789,85.491,85.417,85.193,85.193,84.970,84.896,84.449,84.449,84.449,83.557,83.557,83.780,84.375,83.854,84.449,84.747,85.640
RMNH.INS.1271303_Cq_richiardii - ND4 CDS,80.626,80.700,80.626,99.851,100.000,,84.970,84.970,84.970,85.119,85.193,84.970,81.520,81.595,81.446,82.664,83.185,83.333,83.631,83.408,83.408,84.673,84.598,84.673,83.929,83.929,83.929,85.640,85.565,85.417,85.714,85.342,85.417,85.565,85.640,85.565,83.854,83.854,83.780,83.780,85.565,83.780,84.077,84.003,84.077,84.301,85.193,85.342,85.417,85.342,81.595,81.595,81.595,85.268,85.193,83.929,83.929,83.929,83.780,83.854,83.780,84.821,84.821,84.821,85.789,85.491,85.417,85.193,85.193,84.970,84.896,84.449,84.449,84.449,83.557,83.557,83.780,84.375,83.854,84.449,84.747,85.640
RMNH.INS.1271304_Ae_vexans - ND4 CDS,82.563,82.563,82.563,84.821,84.970,84.970,,99.851,99.851,89.732,89.732,89.583,83.532,83.532,83.532,86.607,87.277,87.351,87.574,87.500,87.500,91.741,91.667,91.741,86.979,86.979,86.979,92.932,92.857,92.708,93.006,92.560,92.634,92.708,92.783,92.783,92.188,92.411,92.336,91.220,92.783,91.220,91.369,91.443,91.369,89.211,89.732,93.973,93.899,94.048,82.936,82.936,82.936,89.807,89.732,88.765,88.765,88.765,88.021,88.095,88.021,92.113,92.113,92.113,91.890,91.592,93.899,92.485,92.485,92.262,91.815,90.997,90.774,90.997,89.807,89.807,89.583,91.815,91.592,91.890,91.667,89.658
RMNH.INS.1271305_Ae_vexans - ND4 CDS,82.563,82.563,82.563,84.821,84.970,84.970,99.851,,99.702,89.732,89.732,89.583,83.532,83.532,83.532,86.607,87.277,87.351,87.574,87.500,87.500,91.741,91.667,91.741,86.979,86.979,86.979,92.932,92.857,92.708,93.006,92.560,92.634,92.708,92.783,92.783,92.039,92.262,92.188,91.220,92.783,91.220,91.220,91.295,91.220,89.211,89.732,93.973,93.750,94.048,82.936,82.936,82.936,89.807,89.732,88.616,88.616,88.616,87.872,87.946,87.872,92.039,92.039,92.039,91.741,91.443,93.750,92.336,92.336,92.113,91.815,90.848,90.625,90.848,89.807,89.807,89.583,91.741,91.518,91.815,91.667,89.658
RMNH.INS.1271306_Ae_vexans - ND4 CDS,82.489,82.489,82.489,84.821,84.970,84.970,99.851,99.702,,89.658,89.658,89.509,83.458,83.458,83.458,86.533,87.202,87.277,87.574,87.500,87.500,91.667,91.592,91.667,86.905,86.905,86.905,92.932,92.857,92.708,93.006,92.560,92.634,92.634,92.708,92.708,92.113,92.336,92.262,91.146,92.708,91.146,91.220,91.295,91.220,89.063,89.658,93.973,93.899,94.048,82.861,82.861,82.861,89.732,89.658,88.765,88.765,88.765,88.021,88.095,88.021,91.964,91.964,91.964,91.815,91.518,93.899,92.485,92.485,92.262,91.815,90.997,90.774,90.997,89.807,89.807,89.583,91.741,91.518,91.815,91.592,89.658
RMNH.INS.1271307_Cs_annulata - ND4 CDS,83.607,83.681,83.681,85.045,85.119,85.119,89.732,89.732,89.658,,99.777,99.479,83.979,84.054,84.054,87.946,88.616,88.839,87.128,87.054,87.054,89.137,89.063,89.137,89.658,89.658,89.658,90.402,90.179,90.179,90.476,90.030,90.179,90.625,90.699,90.625,89.658,89.881,89.807,89.137,90.699,89.137,89.063,89.137,89.063,95.685,99.777,91.146,91.146,91.146,84.575,84.575,84.575,99.851,99.777,88.690,88.690,88.690,88.839,88.839,88.839,89.286,89.286,89.286,90.699,90.104,91.146,90.253,90.253,90.179,89.137,88.765,88.467,88.765,88.542,88.542,88.467,89.286,89.509,89.509,89.137,89.807
