,RMNH.INS.1271298_An_messeae - ND1 CDS,RMNH.INS.1271299_An_messeae - ND1 CDS,RMNH.INS.1271300_An_messeae - ND1 CDS,RMNH.INS.1271301_Cq_richiardii - ND1 CDS,RMNH.INS.1271302_Cq_richiardii - ND1 CDS,RMNH.INS.1271303_Cq_richiardii - ND1 CDS,RMNH.INS.1271304_Ae_vexans - ND1 CDS,RMNH.INS.1271305_Ae_vexans - ND1 CDS,RMNH.INS.1271306_Ae_vexans - ND1 CDS,RMNH.INS.1271307_Cs_annulata - ND1 CDS,RMNH.INS.1271308_Cs_annulata - ND1 CDS,RMNH.INS.1271309_Cs_annulata - ND1 CDS,RMNH.INS.1271310_An_claviger - ND1 CDS,RMNH.INS.1271311_An_claviger - ND1 CDS,RMNH.INS.1271312_An_claviger - ND1 CDS,RMNH.INS.1271313_Cx_modestus - ND1 CDS,RMNH.INS.1271314_Cx_modestus - ND1 CDS,RMNH.INS.1271315_Cx_modestus - ND1 CDS,RMNH.INS.1271316_Cx_territans - ND1 CDS,RMNH.INS.1271317_Cx_territans - ND1 CDS,RMNH.INS.1271318_Cx_territans - ND1 CDS,RMNH.INS.1271319_Ae_cinereus_geminus - ND1 CDS,RMNH.INS.1271320_Ae_cinereus_geminus - ND1 CDS,RMNH.INS.1271321_Ae_cinereus_geminus - ND1 CDS,RMNH.INS.1271322_Cs_longiareolata - ND1 CDS,RMNH.INS.1271323_Cs_longiareolata - ND1 CDS,RMNH.INS.1271324_Cs_longiareolata - ND1 CDS,RMNH.INS.1271325_Ae_annulipes_cantans - ND1 CDS,RMNH.INS.1271326_Ae_annulipes_cantans - ND1 CDS,RMNH.INS.1271327_Ae_annulipes_cantans - ND1 CDS,RMNH.INS.1271328_Ae_annulipes_cantans - ND1 CDS,RMNH.INS.1271329_Ae_annulipes_cantans - ND1 CDS,RMNH.INS.1271330_Ae_annulipes_cantans - ND1 CDS,RMNH.INS.1271331_Ae_rusticus - ND1 CDS,RMNH.INS.1271332_Ae_rusticus - ND1 CDS,RMNH.INS.1271333_Ae_rusticus - ND1 CDS,RMNH.INS.1271334_Ae_communis - ND1 CDS,RMNH.INS.1271335_Ae_communis - ND1 CDS,RMNH.INS.1271336_Ae_communis - ND1 CDS,RMNH.INS.1271337_Ae_punctor - ND1 CDS,RMNH.INS.1271338_Ae_rusticus - ND1 CDS,RMNH.INS.1271339_Ae_punctor - ND1 CDS,RMNH.INS.1271340_Ae_geniculatus - ND1 CDS,RMNH.INS.1271341_Ae_geniculatus - ND1 CDS,RMNH.INS.1271342_Ae_geniculatus - ND1 CDS,RMNH.INS.1271344_Cs_subochrea - ND1 CDS,RMNH.INS.1271345_Cs_annulata - ND1 CDS,RMNH.INS.1271346_Ae_caspius - ND1 CDS,RMNH.INS.1271347_Ae_caspius - ND1 CDS,RMNH.INS.1271348_Ae_caspius - ND1 CDS,RMNH.INS.1271349_An_plumbeus - ND1 CDS,RMNH.INS.1271350_An_plumbeus - ND1 CDS,RMNH.INS.1271351_An_plumbeus - ND1 CDS,RMNH.INS.1271352_Cs_annulata - ND1 CDS,RMNH.INS.1271354_Cs_annulata - ND1 CDS,RMNH.INS.1271355_Cx_pipiens - ND1 CDS,RMNH.INS.1271356_Cx_pipiens - ND1 CDS,RMNH.INS.1271357_Cx_pipiens - ND1 CDS,RMNH.INS.1271358_Cs_morsitans - ND1 CDS,RMNH.INS.1271359_Cs_morsitans - ND1 CDS,RMNH.INS.1271360_Cs_morsitans - ND1 CDS,RMNH.INS.1271361_Ae_sticticus - ND1 CDS,RMNH.INS.1271362_Ae_sticticus - ND1 CDS,RMNH.INS.1271363_Ae_sticticus - ND1 CDS,RMNH.INS.1271367_Ae_detritus - ND1 CDS,RMNH.INS.1271368_Ae_detritus - ND1 CDS,RMNH.INS.1271369_Ae_caspius - ND1 CDS,RMNH.INS.1271370_Ae_flavescens - ND1 CDS,RMNH.INS.1271371_Ae_flavescens - ND1 CDS,RMNH.INS.1271372_Ae_flavescens - ND1 CDS,RMNH.INS.1271375_Ae_leucomelas - ND1 CDS,RMNH.INS.1271376_Ae_albopictus - ND1 CDS,RMNH.INS.1271377_Ae_albopictus - ND1 CDS,RMNH.INS.1271378_Ae_albopictus - ND1 CDS,RMNH.INS.1271379_Ae_japonicus - ND1 CDS,RMNH.INS.1271380_Ae_japonicus - ND1 CDS,RMNH.INS.1271381_Ae_japonicus - ND1 CDS,RMNH.INS.1271382_Ae_aegypti - ND1 CDS,RMNH.INS.1271383_Ae_aegypti - ND1 CDS,RMNH.INS.1271384_Ae_aegypti - ND1 CDS,RMNH.INS.1271386_Ae_cinereus_geminus - ND1 CDS,RMNH.INS.1271389_Cs_ochroptera - ND1 CDS
RMNH.INS.1271298_An_messeae - ND1 CDS,,99.582,99.060,85.789,85.684,85.789,88.297,88.088,88.192,88.610,88.610,88.217,91.954,91.954,91.954,87.356,87.461,87.670,88.715,88.715,88.715,88.088,88.088,88.088,88.110,88.110,88.110,88.217,88.429,88.323,88.004,88.641,88.004,88.535,88.535,88.535,88.004,88.004,88.004,86.837,88.535,86.837,88.223,88.223,88.223,88.715,88.610,88.641,88.429,88.535,91.641,91.536,91.641,88.610,88.610,87.774,87.774,87.565,86.102,86.102,86.102,89.384,89.384,89.384,88.004,88.641,88.429,87.792,87.792,87.686,88.747,87.155,87.261,87.261,87.066,87.066,87.277,88.506,88.401,88.506,88.192,87.356
RMNH.INS.1271299_An_messeae - ND1 CDS,99.582,,99.373,86.102,85.998,86.102,88.506,88.297,88.401,88.819,88.819,88.429,92.268,92.268,92.268,87.461,87.565,87.774,88.924,88.924,88.924,88.401,88.401,88.401,88.323,88.323,88.323,88.323,88.535,88.429,88.110,88.960,88.323,88.641,88.641,88.641,88.323,88.323,88.323,87.155,88.641,87.155,88.538,88.538,88.538,88.715,88.819,88.960,88.747,88.854,91.850,91.745,91.850,88.819,88.819,88.088,88.088,87.879,86.311,86.311,86.311,89.384,89.384,89.384,88.323,88.960,88.747,88.110,88.110,88.004,89.066,87.261,87.367,87.367,87.382,87.382,87.592,88.506,88.610,88.506,88.506,87.670
RMNH.INS.1271300_An_messeae - ND1 CDS,99.060,99.373,,86.207,86.102,86.207,88.506,88.297,88.401,88.924,88.924,88.535,92.476,92.476,92.476,87.670,87.774,87.983,88.715,88.715,88.715,88.506,88.506,88.506,88.429,88.429,88.429,88.217,88.429,88.429,88.004,88.960,88.323,88.641,88.641,88.641,88.429,88.429,88.429,87.686,88.641,87.686,88.749,88.749,88.749,88.924,88.924,88.960,88.747,88.854,91.850,91.745,91.850,88.924,88.924,88.297,88.297,88.088,86.416,86.416,86.416,89.384,89.384,89.384,88.535,89.172,88.747,88.323,88.323,88.217,89.172,87.367,87.473,87.473,87.697,87.697,87.697,88.715,88.924,88.715,88.610,87.879
RMNH.INS.1271301_Cq_richiardii - ND1 CDS,85.789,86.102,86.207,,99.894,99.788,87.252,87.147,87.147,88.610,88.610,89.066,85.162,85.162,85.057,85.789,85.684,85.893,87.252,87.252,87.252,87.252,87.252,87.252,88.323,88.323,88.323,87.686,87.792,88.004,87.580,88.429,88.217,88.747,88.854,88.854,89.066,88.747,88.747,87.580,88.854,87.580,87.802,87.802,87.802,87.774,88.610,89.278,88.960,89.066,84.848,84.848,84.848,88.610,88.610,86.938,86.938,86.729,87.983,87.983,87.983,89.278,89.278,89.278,89.278,89.278,88.960,88.854,88.854,88.747,88.960,88.641,88.641,88.747,87.592,87.592,87.697,86.729,86.834,86.729,87.356,87.356
RMNH.INS.1271302_Cq_richiardii - ND1 CDS,85.684,85.998,86.102,99.894,,99.894,87.147,87.043,87.043,88.506,88.506,88.960,85.057,85.057,84.953,85.684,85.580,85.789,87.147,87.147,87.147,87.147,87.147,87.147,88.217,88.217,88.217,87.580,87.686,87.898,87.473,88.323,88.110,88.641,88.747,88.747,88.960,88.641,88.641,87.473,88.747,87.473,87.697,87.697,87.697,87.670,88.506,89.172,88.854,88.960,84.744,84.744,84.744,88.506,88.506,86.834,86.834,86.625,87.879,87.879,87.879,89.172,89.172,89.172,89.172,89.172,88.854,88.747,88.747,88.641,88.854,88.535,88.535,88.641,87.487,87.487,87.592,86.625,86.729,86.625,87.252,87.252
RMNH.INS.1271303_Cq_richiardii - ND1 CDS,85.789,86.102,86.207,99.788,99.894,,87.252,86.938,87.147,88.401,88.401,88.854,84.953,84.953,84.848,85.789,85.684,85.684,87.043,87.043,87.043,87.043,87.043,87.043,88.110,88.110,88.110,87.473,87.580,87.792,87.367,88.217,88.004,88.535,88.641,88.641,88.854,88.535,88.535,87.580,88.641,87.580,87.802,87.802,87.802,87.774,88.401,89.066,88.747,88.854,84.639,84.639,84.639,88.401,88.401,86.729,86.729,86.520,87.983,87.983,87.983,89.278,89.278,89.278,89.066,89.066,88.747,88.854,88.854,88.747,88.960,88.429,88.429,88.535,87.382,87.382,87.487,86.729,86.834,86.729,87.147,87.147
RMNH.INS.1271304_Ae_vexans - ND1 CDS,88.297,88.506,88.506,87.252,87.147,87.252,,99.687,99.896,91.745,91.850,91.295,88.401,88.506,88.401,90.700,91.327,91.327,90.491,90.596,90.596,93.103,93.103,93.103,90.127,90.127,90.127,92.675,92.781,92.569,92.463,93.418,92.675,92.781,92.887,92.887,92.251,92.357,92.357,92.038,92.887,92.038,92.008,92.008,92.008,91.745,91.850,93.949,93.737,93.737,86.834,86.938,86.834,91.850,91.850,91.745,91.745,91.641,90.909,90.909,90.909,93.206,93.206,93.206,92.357,92.887,93.737,92.569,92.569,92.463,93.418,92.144,92.251,92.251,91.693,91.693,91.798,91.850,91.954,91.954,93.208,91.432
RMNH.INS.1271305_Ae_vexans - ND1 CDS,88.088,88.297,88.297,87.147,87.043,86.938,99.687,,99.791,91.745,91.850,91.295,88.506,88.610,88.506,90.491,91.118,91.327,90.596,90.700,90.700,93.208,93.208,93.208,90.234,90.234,90.234,92.675,92.781,92.569,92.463,93.418,92.675,92.675,92.781,92.781,92.251,92.357,92.357,91.720,92.781,91.720,91.903,91.903,91.903,91.536,91.850,93.949,93.737,93.737,86.938,87.043,86.938,91.850,91.850,91.745,91.745,91.641,90.805,90.805,90.805,92.994,92.994,92.994,92.463,92.994,93.737,92.251,92.251,92.144,93.206,92.038,92.144,92.144,91.693,91.693,91.798,91.641,91.745,91.745,93.312,91.432
RMNH.INS.1271306_Ae_vexans - ND1 CDS,88.192,88.401,88.401,87.147,87.043,87.147,99.896,99.791,,91.641,91.745,91.189,88.506,88.610,88.506,90.596,91.223,91.223,90.387,90.491,90.491,92.999,92.999,92.999,90.021,90.021,90.021,92.569,92.675,92.463,92.357,93.312,92.569,92.675,92.781,92.781,92.144,92.251,92.251,91.932,92.781,91.932,91.903,91.903,91.903,91.641,91.745,93.843,93.631,93.631,86.729,86.834,86.729,91.745,91.745,91.641,91.641,91.536,90.805,90.805,90.805,93.100,93.100,93.100,92.251,92.781,93.631,92.463,92.463,92.357,93.312,92.038,92.144,92.144,91.588,91.588,91.693,91.745,91.850,91.850,93.103,91.327
RMNH.INS.1271307_Cs_annulata - ND1 CDS,88.610,88.819,88.924,88.610,88.506,88.401,91.745,91.745,91.641,,99.896,99.257,87.983,87.983,87.879,90.805,90.700,90.909,91.118,91.223,91.223,91.850,91.850,91.850,92.887,92.887,92.887,91.401,91.826,92.251,91.401,92.569,92.251,92.357,92.463,92.463,91.932,91.720,91.720,89.278,92.463,89.278,91.272,91.272,91.272,96.761,99.896,92.781,92.463,92.569,88.401,88.506,88.401,99.896,99.896,91.223,91.223,91.014,91.850,91.850,91.850,91.189,91.189,91.189,91.401,91.401,92.463,91.614,91.614,91.507,91.826,90.977,91.083,91.083,90.747,90.747,90.747,91.536,91.745,91.745,91.954,92.894
RMNH.INS.1271308_Cs_annulata - ND1 CDS,88.610,88.819,88.924,88.610,88.506,88.401,91.850,91.850,91.745,99.896,,99.363,87.983,87.983,87.879,90.805,90.700,90.909,91.118,91.223,91.223,91.850,91.850,91.850,92.887,92.887,92.887,91.401,91.826,92.251,91.401,92.569,92.251,92.357,92.463,92.463,91.932,91.720,91.720,89.278,92.463,89.278,91.377,91.377,91.377,96.865,100.000,92.781,92.463,92.569,88.401,88.506,88.401,100.000,100.000,91.223,91.223,91.014,91.954,91.954,91.954,91.295,91.295,91.295,91.401,91.401,92.463,91.614,91.614,91.507,91.826,90.977,91.083,91.083,90.747,90.747,90.747,91.536,91.745,91.745,91.954,92.894
RMNH.INS.1271309_Cs_annulata - ND1 CDS,88.217,88.429,88.535,89.066,88.960,88.854,91.295,91.295,91.189,99.257,99.363,,87.580,87.580,87.473,90.658,90.552,90.764,90.764,90.870,90.870,91.507,91.507,91.507,92.251,92.251,92.251,90.977,91.401,91.826,90.977,92.144,91.826,91.932,92.038,92.038,91.507,91.295,91.295,88.854,92.038,88.854,91.083,91.083,91.083,96.391,99.363,92.357,92.038,92.144,88.004,88.110,88.004,99.363,99.363,90.977,90.977,90.764,91.401,91.401,91.401,90.870,90.870,90.870,91.189,91.189,92.038,91.189,91.189,91.083,91.189,90.552,90.658,90.658,90.340,90.340,90.340,90.977,91.189,91.189,91.614,92.357
RMNH.INS.1271310_An_claviger - ND1 CDS,91.954,92.268,92.476,85.162,85.057,84.953,88.401,88.506,88.506,87.983,87.983,87.580,,99.896,99.687,87.670,87.461,87.879,87.983,87.983,87.983,88.610,88.610,88.610,89.066,89.066,89.066,87.367,87.686,87.686,87.367,88.004,88.004,88.110,88.110,88.110,88.747,88.747,88.747,87.155,88.110,87.155,88.644,88.644,88.644,88.297,87.983,88.429,88.217,88.323,90.387,90.282,90.387,87.983,87.983,87.461,87.461,87.252,86.729,86.729,86.729,88.535,88.535,88.535,88.854,88.854,88.217,87.473,87.473,87.367,88.110,87.898,88.004,88.004,87.697,87.697,87.697,86.938,87.565,87.147,88.715,87.461
RMNH.INS.1271311_An_claviger - ND1 CDS,91.954,92.268,92.476,85.162,85.057,84.953,88.506,88.610,88.610,87.983,87.983,87.580,99.896,,99.791,87.774,87.565,87.983,87.983,87.983,87.983,88.610,88.610,88.610,89.066,89.066,89.066,87.367,87.686,87.686,87.367,88.004,88.004,88.110,88.110,88.110,88.854,88.854,88.854,87.261,88.110,87.261,88.749,88.749,88.749,88.297,87.983,88.535,88.323,88.429,90.491,90.387,90.491,87.983,87.983,87.461,87.461,87.252,86.729,86.729,86.729,88.535,88.535,88.535,88.960,88.960,88.323,87.473,87.473,87.367,88.217,87.898,88.004,88.004,87.802,87.802,87.802,86.938,87.565,87.147,88.715,87.565
RMNH.INS.1271312_An_claviger - ND1 CDS,91.954,92.268,92.476,85.057,84.953,84.848,88.401,88.506,88.506,87.879,87.879,87.473,99.687,99.791,,87.879,87.461,87.879,87.774,87.774,87.774,88.506,88.506,88.506,88.960,88.960,88.960,87.367,87.686,87.473,87.367,88.004,88.004,88.004,88.004,88.004,88.747,88.747,88.747,87.261,88.004,87.261,88.749,88.749,88.749,88.192,87.879,88.429,88.217,88.323,90.491,90.387,90.491,87.879,87.879,87.461,87.461,87.252,86.625,86.625,86.625,88.535,88.535,88.535,88.854,88.854,88.217,87.367,87.367,87.261,88.217,87.792,87.898,87.898,87.697,87.697,87.697,86.729,87.356,86.938,88.610,87.461
RMNH.INS.1271313_Cx_modestus - ND1 CDS,87.356,87.461,87.670,85.789,85.684,85.789,90.700,90.491,90.596,90.805,90.805,90.658,87.670,87.774,87.879,,98.537,98.746,90.805,90.909,90.909,89.969,89.969,89.969,90.127,90.127,90.127,88.641,88.960,89.278,88.535,89.172,88.854,90.127,90.127,90.127,89.597,89.278,89.278,88.110,90.127,88.110,89.800,89.800,89.800,90.909,90.805,90.977,90.658,90.764,87.147,87.252,87.147,90.805,90.805,92.999,92.999,92.790,89.133,89.133,89.133,90.127,90.127,90.127,90.127,89.597,90.658,89.490,89.490,89.384,90.021,88.535,88.641,88.641,88.959,88.959,89.064,89.237,89.446,88.819,90.073,90.700
