,RMNH.INS.1271298_An_messeae - ATP8 CDS,RMNH.INS.1271299_An_messeae - ATP8 CDS,RMNH.INS.1271300_An_messeae - ATP8 CDS,RMNH.INS.1271301_Cq_richiardii - ATP8 CDS,RMNH.INS.1271302_Cq_richiardii - ATP8 CDS,RMNH.INS.1271303_Cq_richiardii - ATP8 CDS,RMNH.INS.1271304_Ae_vexans - ATP8 CDS,RMNH.INS.1271305_Ae_vexans - ATP8 CDS,RMNH.INS.1271306_Ae_vexans - ATP8 CDS,RMNH.INS.1271307_Cs_annulata - ATP8 CDS,RMNH.INS.1271308_Cs_annulata - ATP8 CDS,RMNH.INS.1271309_Cs_annulata - ATP8 CDS,RMNH.INS.1271310_An_claviger - ATP8 CDS,RMNH.INS.1271311_An_claviger - ATP8 CDS,RMNH.INS.1271312_An_claviger - ATP8 CDS,RMNH.INS.1271313_Cx_modestus - ATP8 CDS,RMNH.INS.1271314_Cx_modestus - ATP8 CDS,RMNH.INS.1271315_Cx_modestus - ATP8 CDS,RMNH.INS.1271316_Cx_territans - ATP8 CDS,RMNH.INS.1271317_Cx_territans - ATP8 CDS,RMNH.INS.1271318_Cx_territans - ATP8 CDS,RMNH.INS.1271319_Ae_cinereus_geminus - ATP8 CDS,RMNH.INS.1271320_Ae_cinereus_geminus - ATP8 CDS,RMNH.INS.1271321_Ae_cinereus_geminus - ATP8 CDS,RMNH.INS.1271322_Cs_longiareolata - ATP8 CDS,RMNH.INS.1271323_Cs_longiareolata - ATP8 CDS,RMNH.INS.1271324_Cs_longiareolata - ATP8 CDS,RMNH.INS.1271325_Ae_annulipes_cantans - ATP8 CDS,RMNH.INS.1271326_Ae_annulipes_cantans - ATP8 CDS,RMNH.INS.1271327_Ae_annulipes_cantans - ATP8 CDS,RMNH.INS.1271328_Ae_annulipes_cantans - ATP8 CDS,RMNH.INS.1271329_Ae_annulipes_cantans - ATP8 CDS,RMNH.INS.1271330_Ae_annulipes_cantans - ATP8 CDS,RMNH.INS.1271331_Ae_rusticus - ATP8 CDS,RMNH.INS.1271332_Ae_rusticus - ATP8 CDS,RMNH.INS.1271333_Ae_rusticus - ATP8 CDS,RMNH.INS.1271334_Ae_communis - ATP8 CDS,RMNH.INS.1271335_Ae_communis - ATP8 CDS,RMNH.INS.1271336_Ae_communis - ATP8 CDS,RMNH.INS.1271337_Ae_punctor - ATP8 CDS,RMNH.INS.1271338_Ae_rusticus - ATP8 CDS,RMNH.INS.1271339_Ae_punctor - ATP8 CDS,RMNH.INS.1271340_Ae_geniculatus - ATP8 CDS,RMNH.INS.1271341_Ae_geniculatus - ATP8 CDS,RMNH.INS.1271342_Ae_geniculatus - ATP8 CDS,RMNH.INS.1271344_Cs_subochrea - ATP8 CDS,RMNH.INS.1271345_Cs_annulata - ATP8 CDS,RMNH.INS.1271346_Ae_caspius - ATP8 CDS,RMNH.INS.1271347_Ae_caspius - ATP8 CDS,RMNH.INS.1271348_Ae_caspius - ATP8 CDS,RMNH.INS.1271349_An_plumbeus - ATP8 CDS,RMNH.INS.1271350_An_plumbeus - ATP8 CDS,RMNH.INS.1271351_An_plumbeus - ATP8 CDS,RMNH.INS.1271352_Cs_annulata - ATP8 CDS,RMNH.INS.1271354_Cs_annulata - ATP8 CDS,RMNH.INS.1271355_Cx_pipiens - ATP8 CDS,RMNH.INS.1271356_Cx_pipiens - ATP8 CDS,RMNH.INS.1271357_Cx_pipiens - ATP8 CDS,RMNH.INS.1271358_Cs_morsitans - ATP8 CDS,RMNH.INS.1271359_Cs_morsitans - ATP8 CDS,RMNH.INS.1271360_Cs_morsitans - ATP8 CDS,RMNH.INS.1271361_Ae_sticticus - ATP8 CDS,RMNH.INS.1271362_Ae_sticticus - ATP8 CDS,RMNH.INS.1271363_Ae_sticticus - ATP8 CDS,RMNH.INS.1271367_Ae_detritus - ATP8 CDS,RMNH.INS.1271368_Ae_detritus - ATP8 CDS,RMNH.INS.1271369_Ae_caspius - ATP8 CDS,RMNH.INS.1271370_Ae_flavescens - ATP8 CDS,RMNH.INS.1271371_Ae_flavescens - ATP8 CDS,RMNH.INS.1271372_Ae_flavescens - ATP8 CDS,RMNH.INS.1271375_Ae_leucomelas - ATP8 CDS,RMNH.INS.1271376_Ae_albopictus - ATP8 CDS,RMNH.INS.1271377_Ae_albopictus - ATP8 CDS,RMNH.INS.1271378_Ae_albopictus - ATP8 CDS,RMNH.INS.1271379_Ae_japonicus - ATP8 CDS,RMNH.INS.1271380_Ae_japonicus - ATP8 CDS,RMNH.INS.1271381_Ae_japonicus - ATP8 CDS,RMNH.INS.1271382_Ae_aegypti - ATP8 CDS,RMNH.INS.1271383_Ae_aegypti - ATP8 CDS,RMNH.INS.1271384_Ae_aegypti - ATP8 CDS,RMNH.INS.1271386_Ae_cinereus_geminus - ATP8 CDS,RMNH.INS.1271389_Cs_ochroptera - ATP8 CDS
RMNH.INS.1271298_An_messeae - ATP8 CDS,,100.000,100.000,79.630,79.630,79.630,82.099,81.481,82.099,79.012,79.012,79.012,90.741,91.358,90.741,79.012,80.247,79.630,80.864,80.864,80.864,79.012,79.012,79.012,79.012,79.012,79.012,81.481,81.481,81.481,81.481,81.481,81.481,80.864,80.864,80.864,82.099,82.716,82.716,79.012,80.864,79.012,81.481,81.481,81.481,79.012,79.012,81.481,81.481,81.481,93.210,93.210,93.210,79.012,79.012,79.630,79.630,79.630,77.160,77.160,77.160,81.481,81.481,81.481,80.247,80.864,81.481,82.716,82.716,82.716,81.481,83.951,83.951,83.333,81.481,81.481,81.481,82.716,83.333,82.099,79.012,79.012
RMNH.INS.1271299_An_messeae - ATP8 CDS,100.000,,100.000,79.630,79.630,79.630,82.099,81.481,82.099,79.012,79.012,79.012,90.741,91.358,90.741,79.012,80.247,79.630,80.864,80.864,80.864,79.012,79.012,79.012,79.012,79.012,79.012,81.481,81.481,81.481,81.481,81.481,81.481,80.864,80.864,80.864,82.099,82.716,82.716,79.012,80.864,79.012,81.481,81.481,81.481,79.012,79.012,81.481,81.481,81.481,93.210,93.210,93.210,79.012,79.012,79.630,79.630,79.630,77.160,77.160,77.160,81.481,81.481,81.481,80.247,80.864,81.481,82.716,82.716,82.716,81.481,83.951,83.951,83.333,81.481,81.481,81.481,82.716,83.333,82.099,79.012,79.012
RMNH.INS.1271300_An_messeae - ATP8 CDS,100.000,100.000,,79.630,79.630,79.630,82.099,81.481,82.099,79.012,79.012,79.012,90.741,91.358,90.741,79.012,80.247,79.630,80.864,80.864,80.864,79.012,79.012,79.012,79.012,79.012,79.012,81.481,81.481,81.481,81.481,81.481,81.481,80.864,80.864,80.864,82.099,82.716,82.716,79.012,80.864,79.012,81.481,81.481,81.481,79.012,79.012,81.481,81.481,81.481,93.210,93.210,93.210,79.012,79.012,79.630,79.630,79.630,77.160,77.160,77.160,81.481,81.481,81.481,80.247,80.864,81.481,82.716,82.716,82.716,81.481,83.951,83.951,83.333,81.481,81.481,81.481,82.716,83.333,82.099,79.012,79.012
RMNH.INS.1271301_Cq_richiardii - ATP8 CDS,79.630,79.630,79.630,,100.000,100.000,84.568,83.951,84.568,80.247,80.247,80.247,75.926,76.543,75.926,82.099,83.333,82.716,82.099,82.099,82.099,83.333,83.333,83.333,82.716,82.716,82.716,85.185,85.185,85.185,85.185,85.802,85.185,87.654,87.654,87.654,85.802,86.420,86.420,84.568,87.037,84.568,85.802,85.802,85.802,79.012,80.247,85.802,85.802,85.802,82.099,82.099,82.099,80.247,80.247,82.716,82.716,82.716,81.481,81.481,81.481,84.568,84.568,84.568,84.568,85.185,85.802,86.420,86.420,86.420,85.802,87.654,87.654,87.037,87.037,87.037,87.037,84.568,85.185,84.568,83.333,83.951
RMNH.INS.1271302_Cq_richiardii - ATP8 CDS,79.630,79.630,79.630,100.000,,100.000,84.568,83.951,84.568,80.247,80.247,80.247,75.926,76.543,75.926,82.099,83.333,82.716,82.099,82.099,82.099,83.333,83.333,83.333,82.716,82.716,82.716,85.185,85.185,85.185,85.185,85.802,85.185,87.654,87.654,87.654,85.802,86.420,86.420,84.568,87.037,84.568,85.802,85.802,85.802,79.012,80.247,85.802,85.802,85.802,82.099,82.099,82.099,80.247,80.247,82.716,82.716,82.716,81.481,81.481,81.481,84.568,84.568,84.568,84.568,85.185,85.802,86.420,86.420,86.420,85.802,87.654,87.654,87.037,87.037,87.037,87.037,84.568,85.185,84.568,83.333,83.951
RMNH.INS.1271303_Cq_richiardii - ATP8 CDS,79.630,79.630,79.630,100.000,100.000,,84.568,83.951,84.568,80.247,80.247,80.247,75.926,76.543,75.926,82.099,83.333,82.716,82.099,82.099,82.099,83.333,83.333,83.333,82.716,82.716,82.716,85.185,85.185,85.185,85.185,85.802,85.185,87.654,87.654,87.654,85.802,86.420,86.420,84.568,87.037,84.568,85.802,85.802,85.802,79.012,80.247,85.802,85.802,85.802,82.099,82.099,82.099,80.247,80.247,82.716,82.716,82.716,81.481,81.481,81.481,84.568,84.568,84.568,84.568,85.185,85.802,86.420,86.420,86.420,85.802,87.654,87.654,87.037,87.037,87.037,87.037,84.568,85.185,84.568,83.333,83.951
RMNH.INS.1271304_Ae_vexans - ATP8 CDS,82.099,82.099,82.099,84.568,84.568,84.568,,99.383,100.000,88.272,88.272,88.272,80.864,81.481,80.864,83.951,85.185,84.568,85.185,85.185,85.185,92.593,92.593,92.593,87.037,87.037,87.037,92.593,92.593,92.593,92.593,93.210,92.593,92.593,92.593,92.593,91.975,92.593,92.593,89.506,92.593,89.506,91.358,91.358,91.358,85.802,88.272,93.210,93.210,93.210,80.247,80.247,80.247,88.272,88.272,85.185,85.185,85.185,82.099,82.099,82.099,93.210,93.210,93.210,94.444,95.062,93.210,93.827,93.827,93.827,93.210,91.358,91.358,90.741,88.272,88.272,88.272,90.741,91.358,90.741,92.593,84.568
RMNH.INS.1271305_Ae_vexans - ATP8 CDS,81.481,81.481,81.481,83.951,83.951,83.951,99.383,,99.383,88.272,88.272,88.272,81.481,80.864,81.481,84.568,85.802,85.185,84.568,84.568,84.568,93.210,93.210,93.210,87.654,87.654,87.654,91.975,91.975,91.975,91.975,92.593,91.975,91.975,91.975,91.975,91.358,91.975,91.975,88.889,91.975,88.889,90.741,90.741,90.741,85.802,88.272,92.593,92.593,92.593,79.630,79.630,79.630,88.272,88.272,84.568,84.568,84.568,82.716,82.716,82.716,93.827,93.827,93.827,93.827,94.444,92.593,93.210,93.210,93.210,92.593,91.975,91.975,91.358,87.654,87.654,87.654,90.123,90.741,90.123,93.210,83.951
RMNH.INS.1271306_Ae_vexans - ATP8 CDS,82.099,82.099,82.099,84.568,84.568,84.568,100.000,99.383,,88.272,88.272,88.272,80.864,81.481,80.864,83.951,85.185,84.568,85.185,85.185,85.185,92.593,92.593,92.593,87.037,87.037,87.037,92.593,92.593,92.593,92.593,93.210,92.593,92.593,92.593,92.593,91.975,92.593,92.593,89.506,92.593,89.506,91.358,91.358,91.358,85.802,88.272,93.210,93.210,93.210,80.247,80.247,80.247,88.272,88.272,85.185,85.185,85.185,82.099,82.099,82.099,93.210,93.210,93.210,94.444,95.062,93.210,93.827,93.827,93.827,93.210,91.358,91.358,90.741,88.272,88.272,88.272,90.741,91.358,90.741,92.593,84.568
RMNH.INS.1271307_Cs_annulata - ATP8 CDS,79.012,79.012,79.012,80.247,80.247,80.247,88.272,88.272,88.272,,100.000,100.000,75.926,75.926,75.926,83.951,84.568,83.951,85.185,85.185,85.185,88.272,88.272,88.272,90.741,90.741,90.741,90.741,90.741,90.741,90.741,90.123,90.741,89.506,89.506,89.506,88.889,89.506,89.506,87.654,90.123,87.654,89.506,89.506,89.506,95.679,100.000,91.358,91.358,91.358,77.778,77.778,77.778,100.000,100.000,82.099,82.099,82.099,86.420,86.420,86.420,90.741,90.741,90.741,90.123,91.975,91.358,91.975,91.975,91.975,91.358,87.654,87.654,87.037,86.420,86.420,86.420,88.272,88.889,87.654,88.272,88.272
