,RMNH.INS.1271298_An_messeae - COX1 CDS,RMNH.INS.1271299_An_messeae - COX1 CDS,RMNH.INS.1271300_An_messeae - COX1 CDS,RMNH.INS.1271301_Cq_richiardii - COX1 CDS,RMNH.INS.1271302_Cq_richiardii - COX1 CDS,RMNH.INS.1271303_Cq_richiardii - COX1 CDS,RMNH.INS.1271304_Ae_vexans - COX1 CDS,RMNH.INS.1271305_Ae_vexans - COX1 CDS,RMNH.INS.1271306_Ae_vexans - COX1 CDS,RMNH.INS.1271307_Cs_annulata - COX1 CDS,RMNH.INS.1271308_Cs_annulata - COX1 CDS,RMNH.INS.1271309_Cs_annulata - COX1 CDS,RMNH.INS.1271310_An_claviger - COX1 CDS,RMNH.INS.1271311_An_claviger - COX1 CDS,RMNH.INS.1271312_An_claviger - COX1 CDS,RMNH.INS.1271313_Cx_modestus - COX1 CDS,RMNH.INS.1271314_Cx_modestus - COX1 CDS,RMNH.INS.1271315_Cx_modestus - COX1 CDS,RMNH.INS.1271316_Cx_territans - COX1 CDS,RMNH.INS.1271317_Cx_territans - COX1 CDS,RMNH.INS.1271318_Cx_territans - COX1 CDS,RMNH.INS.1271319_Ae_cinereus_geminus - COX1 CDS,RMNH.INS.1271320_Ae_cinereus_geminus - COX1 CDS,RMNH.INS.1271321_Ae_cinereus_geminus - COX1 CDS,RMNH.INS.1271322_Cs_longiareolata - COX1 CDS,RMNH.INS.1271323_Cs_longiareolata - COX1 CDS,RMNH.INS.1271324_Cs_longiareolata - COX1 CDS,RMNH.INS.1271325_Ae_annulipes_cantans - COX1 CDS,RMNH.INS.1271326_Ae_annulipes_cantans - COX1 CDS,RMNH.INS.1271327_Ae_annulipes_cantans - COX1 CDS,RMNH.INS.1271328_Ae_annulipes_cantans - COX1 CDS,RMNH.INS.1271329_Ae_annulipes_cantans - COX1 CDS,RMNH.INS.1271330_Ae_annulipes_cantans - COX1 CDS,RMNH.INS.1271331_Ae_rusticus - COX1 CDS,RMNH.INS.1271332_Ae_rusticus - COX1 CDS,RMNH.INS.1271333_Ae_rusticus - COX1 CDS,RMNH.INS.1271334_Ae_communis - COX1 CDS,RMNH.INS.1271335_Ae_communis - COX1 CDS,RMNH.INS.1271336_Ae_communis - COX1 CDS,RMNH.INS.1271337_Ae_punctor - COX1 CDS,RMNH.INS.1271338_Ae_rusticus - COX1 CDS,RMNH.INS.1271339_Ae_punctor - COX1 CDS,RMNH.INS.1271340_Ae_geniculatus - COX1 CDS,RMNH.INS.1271341_Ae_geniculatus - COX1 CDS,RMNH.INS.1271342_Ae_geniculatus - COX1 CDS,RMNH.INS.1271344_Cs_subochrea - COX1 CDS,RMNH.INS.1271345_Cs_annulata - COX1 CDS,RMNH.INS.1271346_Ae_caspius - COX1 CDS,RMNH.INS.1271347_Ae_caspius - COX1 CDS,RMNH.INS.1271348_Ae_caspius - COX1 CDS,RMNH.INS.1271349_An_plumbeus - COX1 CDS,RMNH.INS.1271350_An_plumbeus - COX1 CDS,RMNH.INS.1271351_An_plumbeus - COX1 CDS,RMNH.INS.1271352_Cs_annulata - COX1 CDS,RMNH.INS.1271354_Cs_annulata - COX1 CDS,RMNH.INS.1271355_Cx_pipiens - COX1 CDS,RMNH.INS.1271356_Cx_pipiens - COX1 CDS,RMNH.INS.1271357_Cx_pipiens - COX1 CDS,RMNH.INS.1271358_Cs_morsitans - COX1 CDS,RMNH.INS.1271359_Cs_morsitans - COX1 CDS,RMNH.INS.1271360_Cs_morsitans - COX1 CDS,RMNH.INS.1271361_Ae_sticticus - COX1 CDS,RMNH.INS.1271362_Ae_sticticus - COX1 CDS,RMNH.INS.1271363_Ae_sticticus - COX1 CDS,RMNH.INS.1271367_Ae_detritus - COX1 CDS,RMNH.INS.1271368_Ae_detritus - COX1 CDS,RMNH.INS.1271369_Ae_caspius - COX1 CDS,RMNH.INS.1271370_Ae_flavescens - COX1 CDS,RMNH.INS.1271371_Ae_flavescens - COX1 CDS,RMNH.INS.1271372_Ae_flavescens - COX1 CDS,RMNH.INS.1271375_Ae_leucomelas - COX1 CDS,RMNH.INS.1271376_Ae_albopictus - COX1 CDS,RMNH.INS.1271377_Ae_albopictus - COX1 CDS,RMNH.INS.1271378_Ae_albopictus - COX1 CDS,RMNH.INS.1271379_Ae_japonicus - COX1 CDS,RMNH.INS.1271380_Ae_japonicus - COX1 CDS,RMNH.INS.1271381_Ae_japonicus - COX1 CDS,RMNH.INS.1271382_Ae_aegypti - COX1 CDS,RMNH.INS.1271383_Ae_aegypti - COX1 CDS,RMNH.INS.1271384_Ae_aegypti - COX1 CDS,RMNH.INS.1271386_Ae_cinereus_geminus - COX1 CDS,RMNH.INS.1271389_Cs_ochroptera - COX1 CDS
RMNH.INS.1271298_An_messeae - COX1 CDS,,99.801,99.070,84.263,84.130,84.130,86.786,86.786,86.786,86.985,86.919,86.853,88.446,88.446,88.380,86.189,86.189,85.989,85.989,85.857,85.989,86.388,86.388,86.388,85.923,85.923,85.923,85.657,85.923,86.189,85.657,85.923,85.857,86.321,86.255,86.255,86.521,86.587,86.587,85.657,86.189,85.657,85.591,85.591,85.591,86.769,86.919,87.251,87.384,87.450,87.649,87.649,87.649,86.919,86.919,86.919,86.985,86.919,85.193,85.060,85.060,85.392,85.392,85.325,86.521,86.720,87.317,85.591,85.591,85.591,86.388,86.122,86.122,86.056,86.919,86.919,87.118,85.857,86.388,85.923,86.255,86.388
RMNH.INS.1271299_An_messeae - COX1 CDS,99.801,,99.004,84.197,84.064,84.064,86.853,86.853,86.853,87.185,87.118,87.052,88.513,88.513,88.446,86.388,86.388,86.189,86.189,86.056,86.189,86.454,86.454,86.454,85.989,85.989,85.989,85.857,86.122,86.388,85.857,86.122,86.056,86.388,86.321,86.321,86.587,86.653,86.653,85.857,86.255,85.857,85.790,85.790,85.790,86.968,87.118,87.450,87.583,87.649,87.849,87.849,87.849,87.118,87.118,87.118,87.185,87.118,85.392,85.259,85.259,85.591,85.591,85.525,86.720,86.919,87.517,85.790,85.790,85.790,86.321,86.321,86.321,86.255,87.118,87.118,87.317,86.056,86.587,86.122,86.454,86.587
RMNH.INS.1271300_An_messeae - COX1 CDS,99.070,99.004,,84.197,84.197,84.197,86.919,86.919,86.919,87.052,86.985,86.919,88.513,88.513,88.446,86.189,86.321,86.122,86.388,86.255,86.388,86.321,86.321,86.321,86.189,86.189,86.189,85.923,86.189,86.321,85.923,86.189,86.122,86.587,86.521,86.521,86.786,86.853,86.853,85.458,86.454,85.458,85.657,85.657,85.657,86.769,86.985,87.317,87.583,87.649,87.782,87.782,87.782,86.985,86.985,86.919,86.985,86.919,85.657,85.525,85.525,85.591,85.591,85.525,86.653,87.118,87.517,85.724,85.724,85.724,86.521,86.056,86.056,85.989,87.251,87.251,87.450,85.923,86.454,86.521,86.189,86.587
RMNH.INS.1271301_Cq_richiardii - COX1 CDS,84.263,84.197,84.197,,99.801,99.801,85.790,85.857,85.724,85.525,85.591,85.525,85.126,85.259,85.126,86.919,86.919,86.853,85.657,85.525,85.392,84.728,84.728,84.728,86.321,86.321,86.321,84.595,84.728,84.529,84.595,84.329,84.396,85.591,85.392,85.525,85.392,85.525,85.525,84.529,85.458,84.529,85.857,85.857,85.857,85.638,85.591,85.126,85.392,85.525,85.126,85.126,85.126,85.591,85.591,86.720,86.786,86.853,84.661,84.595,84.595,85.325,85.325,85.259,84.329,84.329,85.591,84.529,84.529,84.329,85.193,84.794,84.794,84.661,85.989,85.989,86.056,85.259,85.392,85.392,84.728,85.857
RMNH.INS.1271302_Cq_richiardii - COX1 CDS,84.130,84.064,84.197,99.801,,100.000,85.657,85.724,85.591,85.325,85.392,85.325,84.993,85.126,84.993,86.720,86.720,86.653,85.525,85.525,85.392,84.661,84.661,84.661,86.122,86.122,86.122,84.462,84.595,84.396,84.462,84.197,84.263,85.591,85.392,85.525,85.392,85.392,85.392,84.396,85.458,84.396,85.657,85.657,85.657,85.439,85.392,84.993,85.259,85.392,85.060,85.060,85.060,85.392,85.392,86.521,86.587,86.653,84.595,84.529,84.529,85.126,85.126,85.060,84.130,84.263,85.458,84.396,84.396,84.197,85.193,84.595,84.595,84.462,85.923,85.923,85.989,85.060,85.193,85.325,84.661,85.790
RMNH.INS.1271303_Cq_richiardii - COX1 CDS,84.130,84.064,84.197,99.801,100.000,,85.657,85.724,85.591,85.325,85.392,85.325,84.993,85.126,84.993,86.720,86.720,86.653,85.525,85.525,85.392,84.661,84.661,84.661,86.122,86.122,86.122,84.462,84.595,84.396,84.462,84.197,84.263,85.591,85.392,85.525,85.392,85.392,85.392,84.396,85.458,84.396,85.657,85.657,85.657,85.439,85.392,84.993,85.259,85.392,85.060,85.060,85.060,85.392,85.392,86.521,86.587,86.653,84.595,84.529,84.529,85.126,85.126,85.060,84.130,84.263,85.458,84.396,84.396,84.197,85.193,84.595,84.595,84.462,85.923,85.923,85.989,85.060,85.193,85.325,84.661,85.790
RMNH.INS.1271304_Ae_vexans - COX1 CDS,86.786,86.853,86.919,85.790,85.657,85.657,,99.867,99.934,87.583,87.583,87.583,85.724,85.790,85.790,88.712,88.778,88.845,86.919,86.786,86.653,89.376,89.376,89.309,87.118,87.118,87.118,89.973,90.040,89.774,89.973,89.973,89.907,91.368,91.434,91.434,89.708,89.841,89.841,88.645,91.368,88.645,88.977,88.977,88.977,87.899,87.583,90.438,90.637,90.571,86.321,86.321,86.321,87.583,87.583,89.442,89.509,89.442,86.985,86.786,86.786,89.774,89.774,89.575,89.044,89.177,90.505,89.841,89.841,90.040,89.907,88.977,88.977,88.845,89.376,89.376,89.442,90.438,90.305,90.372,89.376,88.977
RMNH.INS.1271305_Ae_vexans - COX1 CDS,86.786,86.853,86.919,85.857,85.724,85.724,99.867,,99.801,87.649,87.649,87.649,85.790,85.857,85.857,88.778,88.845,88.911,86.985,86.853,86.720,89.442,89.442,89.376,87.185,87.185,87.185,90.040,90.106,89.841,90.040,90.040,89.973,91.434,91.501,91.501,89.774,89.907,89.907,88.712,91.434,88.712,89.044,89.044,89.044,87.965,87.649,90.505,90.704,90.637,86.388,86.388,86.388,87.649,87.649,89.442,89.509,89.442,87.052,86.853,86.853,89.841,89.841,89.641,89.110,89.243,90.571,89.907,89.907,90.106,89.973,89.044,89.044,88.911,89.442,89.442,89.509,90.438,90.305,90.372,89.442,88.977
RMNH.INS.1271306_Ae_vexans - COX1 CDS,86.786,86.853,86.919,85.724,85.591,85.591,99.934,99.801,,87.517,87.517,87.517,85.724,85.790,85.790,88.645,88.712,88.778,86.919,86.786,86.653,89.309,89.309,89.243,87.052,87.052,87.052,89.907,89.973,89.708,89.907,89.907,89.841,91.301,91.368,91.368,89.641,89.774,89.774,88.579,91.301,88.579,88.911,88.911,88.911,87.832,87.517,90.438,90.637,90.571,86.321,86.321,86.321,87.517,87.517,89.376,89.442,89.376,86.985,86.786,86.786,89.708,89.708,89.509,88.977,89.110,90.505,89.774,89.774,89.973,89.841,88.911,88.911,88.778,89.309,89.309,89.376,90.438,90.305,90.372,89.309,88.911
RMNH.INS.1271307_Cs_annulata - COX1 CDS,86.985,87.185,87.052,85.525,85.325,85.325,87.583,87.649,87.517,,99.867,99.801,85.325,85.325,85.325,87.915,87.716,87.517,88.114,88.048,88.114,86.321,86.321,86.321,88.579,88.579,88.579,86.321,86.786,86.985,86.321,86.853,86.853,88.579,88.446,88.513,87.052,87.185,87.185,86.388,88.446,86.388,87.450,87.450,87.450,95.944,99.867,88.048,88.313,88.446,84.993,84.993,84.993,99.867,99.867,88.845,88.911,88.977,88.048,87.849,87.849,87.517,87.517,87.384,87.583,87.915,88.313,86.985,86.985,86.786,87.185,86.521,86.521,86.521,86.720,86.720,86.853,85.923,86.388,86.255,86.321,89.177
